T,current_km,best_km
135.801164502,-8600503.09879,-8600503.09879
135.665431181,-8610074.14114,-8610074.14114
135.529833527,-8612417.17466,-8613542.68601
135.394371401,-8613099.86094,-8613542.68601
135.259044671,-8614750.98425,-8615012.58241
135.123853199,-8618023.94055,-8618023.94055
134.988796852,-8616700.27474,-8618023.94055
134.853875493,-8617959.80533,-8618043.13543
134.719088989,-8618601.65987,-8619358.97512
134.584437203,-8618382.07055,-8619358.97512
134.449920002,-8621098.44166,-8621098.44166
134.315537251,-8623055.48079,-8623055.48079
134.181288816,-8624723.85028,-8624723.85028
134.047174562,-8624195.9541,-8625229.83112
133.913194355,-8625677.40847,-8626299.01857
133.779348061,-8629246.24181,-8629248.47263
133.645635547,-8632290.34435,-8632390.07017
133.512056679,-8632908.43964,-8633152.58063
133.378611323,-8634101.18051,-8634367.49984
133.245299345,-8636077.47472,-8636077.47472
133.112120613,-8635305.96541,-8637671.33403
132.979074993,-8636131.32329,-8637671.33403
132.846162352,-8638774.07667,-8639030.01848
132.713382558,-8639260.89958,-8640132.04727
132.580735476,-8640484.63962,-8640484.63962
132.448220976,-8641522.73541,-8641522.73541
132.315838924,-8641759.89521,-8642603.18716
132.183589188,-8641938.87949,-8642832.06637
132.051471636,-8643581.34405,-8643581.34405
131.919486135,-8644678.84172,-8645807.15778
131.787632553,-8644277.32228,-8645807.15778
131.65591076,-8646904.28762,-8646904.28762
131.524320622,-8645858.76298,-8647283.90271
131.392862009,-8645632.53359,-8647283.90271
131.261534789,-8646185.87326,-8647283.90271
131.13033883,-8646195.77483,-8647283.90271
130.999274002,-8647119.66808,-8647315.49782
130.868340173,-8647200.95736,-8647890.98037
130.737537212,-8648368.89646,-8648510.32527
130.60686499,-8650198.3409,-8650363.28391
130.476323374,-8650184.84588,-8651627.76655
130.345912234,-8652100.67342,-8652283.02231
130.215631441,-8652809.85441,-8652809.85441
130.085480863,-8653046.92276,-8653356.47537
129.955460371,-8655198.77755,-8655417.08251
129.825569834,-8657478.95733,-8657478.95733
129.695809123,-8659409.4321,-8659409.4321
129.566178107,-8660216.69543,-8660216.69543
129.436676659,-8660150.24081,-8661383.97639
129.307304646,-8658681.98788,-8661383.97639
129.178061941,-8657567.19452,-8661383.97639
129.048948415,-8657767.78507,-8661383.97639
128.919963937,-8658837.6406,-8661383.97639
128.79110838,-8658958.72415,-8661383.97639
128.662381613,-8659995.27097,-8661383.97639
128.533783509,-8665428.27915,-8665428.27915
128.405313939,-8666429.99527,-8666590.41866
128.276972774,-8665548.86886,-8666590.41866
128.148759887,-8668035.54072,-8668724.62914
128.020675148,-8667541.14674,-8668925.99278
127.89271843,-8668044.84256,-8668925.99278
127.764889604,-8667730.94643,-8668925.99278
127.637188544,-8670304.84613,-8670571.76463
127.509615121,-8671339.66568,-8671868.29651
127.382169207,-8673052.29272,-8673052.29272
127.254850676,-8672202.71769,-8673372.06797
127.1276594,-8670783.96634,-8673372.06797
127.000595252,-8673634.64804,-8673841.80717
126.873658104,-8675301.32617,-8675301.32617
126.74684783,-8675732.71455,-8675899.07729
126.620164302,-8675202.469,-8675899.07729
126.493607396,-8673883.92637,-8675899.07729
126.367176982,-8674317.29595,-8675899.07729
126.240872936,-8672240.64749,-8675899.07729
126.114695131,-8673383.25897,-8675899.07729
125.988643441,-8677486.55658,-8677660.68641
125.862717739,-8680775.42381,-8680800.63789
125.736917901,-8683225.1727,-8683308.18194
125.611243799,-8684108.01618,-8684360.91315
125.485695308,-8682627.41388,-8684856.82468
125.360272304,-8683243.34879,-8684856.82468
125.234974659,-8685605.96307,-8685659.84799
125.10980225,-8687482.82233,-8687491.30824
124.984754951,-8688088.01306,-8688409.11148
